Symbol,Datetime_Entry,Qty,Price,Exit_date,Exit_Price,PnL,equity_curve
NSE:ADANIENSOL-EQ,2016-01-01 05:30:00+05:30,1624,41.05,2016-01-05 05:30:00+05:30,38.8,-3654.0,996346.0
NSE:BAJAJFINSV-EQ,2016-01-01 05:30:00+05:30,336,198.38,2016-01-05 05:30:00+05:30,194.6,-1270.0800000000004,995075.92
NSE:BAJFINANCE-EQ,2016-01-01 05:30:00+05:30,1093,60.96,2016-01-05 05:30:00+05:30,59.98,-1071.1400000000044,994004.78
NSE:BEL-EQ,2016-01-01 05:30:00+05:30,1599,41.69,2016-01-05 05:30:00+05:30,41.4,-463.7099999999986,993541.07
NSE:BPCL-EQ,2016-01-01 05:30:00+05:30,446,149.34,2016-01-05 05:30:00+05:30,150.44,490.59999999999746,994031.67
NSE:BRITANNIA-EQ,2016-01-01 05:30:00+05:30,44,1493.2,2016-01-05 05:30:00+05:30,1483.35,-433.400000000006,993598.27
NSE:CHOLAFIN-EQ,2016-01-01 05:30:00+05:30,521,127.75,2016-01-05 05:30:00+05:30,128.38,328.22999999999763,993926.5
NSE:DIVISLAB-EQ,2016-01-01 05:30:00+05:30,57,1162.5,2016-01-05 05:30:00+05:30,1147.5,-855.0,993071.5
NSE:GODREJCP-EQ,2016-01-01 05:30:00+05:30,149,447.35,2016-01-05 05:30:00+05:30,438.63,-1299.280000000004,991772.22
NSE:INDIGO-EQ,2016-01-01 05:30:00+05:30,49,1343.45,2016-01-05 05:30:00+05:30,1252.95,-4434.5,987337.72
NSE:IOC-EQ,2016-01-01 05:30:00+05:30,923,72.21,2016-01-05 05:30:00+05:30,73.78,1449.1100000000067,988786.83
NSE:MARUTI-EQ,2016-01-01 05:30:00+05:30,14,4638.5,2016-01-05 05:30:00+05:30,4566.95,-1001.7000000000025,987785.13
NSE:SIEMENS-EQ,2016-01-01 05:30:00+05:30,111,597.88,2016-01-05 05:30:00+05:30,594.48,-377.3999999999975,987407.73
NSE:TORNTPHARM-EQ,2016-01-01 05:30:00+05:30,90,739.45,2016-01-05 05:30:00+05:30,717.98,-1932.3000000000025,985475.4299999999
NSE:ZYDUSLIFE-EQ,2016-01-01 05:30:00+05:30,200,332.7,2016-01-05 05:30:00+05:30,313.6,-3819.999999999993,981655.4299999999
NSE:ADANIENSOL-EQ,2016-01-05 05:30:00+05:30,1686,38.8,2016-01-12 05:30:00+05:30,36.3,-4215.0,977440.4299999999
NSE:BAJAJFINSV-EQ,2016-01-05 05:30:00+05:30,336,194.6,2016-01-12 05:30:00+05:30,195.75,386.4000000000019,977826.83
NSE:BAJAJHLDNG-EQ,2016-01-05 05:30:00+05:30,39,1652.6,2016-01-12 05:30:00+05:30,1620.9,-1236.299999999993,976590.53
NSE:BAJFINANCE-EQ,2016-01-05 05:30:00+05:30,1091,59.98,2016-01-12 05:30:00+05:30,62.09,2302.010000000007,978892.54
NSE:BEL-EQ,2016-01-05 05:30:00+05:30,1580,41.4,2016-01-12 05:30:00+05:30,40.61,-1248.1999999999987,977644.34
NSE:BPCL-EQ,2016-01-05 05:30:00+05:30,435,150.44,2016-01-12 05:30:00+05:30,148.36,-904.7999999999931,976739.54
NSE:BRITANNIA-EQ,2016-01-05 05:30:00+05:30,44,1483.35,2016-01-12 05:30:00+05:30,1470.1,-583.0,976156.54
NSE:CHOLAFIN-EQ,2016-01-05 05:30:00+05:30,509,128.38,2016-01-12 05:30:00+05:30,128.83,229.05000000000868,976385.5900000001
NSE:DIVISLAB-EQ,2016-01-05 05:30:00+05:30,57,1147.5,2016-01-12 05:30:00+05:30,1100.3,-2690.4000000000024,973695.1900000001
NSE:GODREJCP-EQ,2016-01-05 05:30:00+05:30,149,438.63,2016-01-12 05:30:00+05:30,423.08,-2316.9500000000016,971378.24
NSE:IOC-EQ,2016-01-05 05:30:00+05:30,887,73.78,2016-01-12 05:30:00+05:30,73.33,-399.15000000000254,970979.0900000001
NSE:MARUTI-EQ,2016-01-05 05:30:00+05:30,14,4566.95,2016-01-12 05:30:00+05:30,4266.7,-4203.5,966775.5900000001
NSE:SIEMENS-EQ,2016-01-05 05:30:00+05:30,110,594.48,2016-01-12 05:30:00+05:30,559.58,-3838.9999999999973,962936.5900000001
